Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,08/28/10,08/28/10,"Griffin's Waste Services, Inc., Indianola, MS  38751",Worker was caught between a waste collection truck and a trash bin.
FY 2010,09/04/10,07/05/10,"Skyline Produce LLC, Hatch, NM 87937",Worker was riding a pallet on the forks of an industrial truck when his foot was caught between the pallet and stationary object.  Worker died of a reported embolism at a medical facility.
FY 2010,09/04/10,08/13/10,"Good Shepherd Medical Center dba Champion EMS, White Oak, TX  75693","Worker was found sleeping at the ambulance station, carbon monoxide poisoning."
FY 2010,09/04/10,08/13/10,"Prestonwood Baptist Church, The Colony, TX  75056","Worker was assembling industrial racks and fell five feet to the ground below, striking his head on the concrete floor."
FY 2010,09/04/10,08/24/10,"PR Management Corp. dba Panera Bread, Bedford, NH  03110",Worker slipped in the kitchen area.
FY 2010,09/04/10,08/26/10,"Chapparl Energy, Clinton, OK  73601",Worker was running electrical lines through metal conduit and collapsed.
FY 2010,09/04/10,08/26/10,"D.R. Mozeley, Inc., Charlotte, NC 28216",Worker was run over by co-worker while making grade measures.
FY 2010,09/04/10,08/26/10,"Sonoco Recycling, Inc., Salisbury, NC 28144",Worker suffered fatal injuries after getting caught between forklift mast and 1600 lbs of baled cardboard.
FY 2010,09/04/10,08/26/10,"Timber Roof Service, Gualala, CA 95445",Tree service worker suffered fatal injuries after falling 63 feet from a tree and landing on previously cut limbs and branches.
FY 2010,09/04/10,08/27/10,"DJE Leasing, Inc., Phoenix, AZ 85043",Worker was fatally injured after getting caught in between while connecting a second trailer to a lead trailer.
FY 2010,09/04/10,08/27/10,"Kansas City Southern Railroad, Port Arthur, TX  77640","Worker was found near an electrical enclosure, unresponsive."
FY 2010,09/04/10,08/29/10,"Sorey Tire, Inc., Forest, MS  39074","Worker was installing a tire on a truck.  The tire exploded, striking the worker."
FY 2010,09/04/10,08/30/10,"Complete Land Sculpture, Dallas, TX  75220",Worker was performing maintenance work on a water pump and was electrocuted.
FY 2010,09/04/10,08/30/10,"Stebbins Engineering, Watertown, NY 13601","Worker was hung by a safety strap while working on an extended boom lift, after the boom snapped."
FY 2010,09/04/10,08/31/10,"BEJT, LLC., Paterson, NJ  07522",Worker was crushed by an industrial truck that fell on him.
FY 2010,09/04/10,08/31/10,"Nemeth Contracting, White Oak, PA  15131",Worker was standing on the edge of the roof and fell 60 feet.
FY 2010,09/04/10,08/31/10,"Rick's Electric, Burwell, NE  68823",Worker was tracing an electrical short and contact was made with the live circuit.
FY 2010,09/04/10,09/01/10,"Allens Air Conditioning. Phoenix, AZ 85008",Worker was electrocuted after making contact with a 110-volt doorbell transformer while performing A/C service.
FY 2010,09/04/10,09/01/10,"Dominos Pizza, Hyde Park, MA  02136",Worker was stabbed and murdered at delivery site.
FY 2010,09/04/10,09/01/10,"J & E Electric, Murfeesboro, TN 37128",Worker was electrocuted after cutting into an energized electric line while working in the attic of a residence.
FY 2010,09/04/10,09/01/10,"Transworld Plastics Films, Inc., Rochelle, IL  61068",Worker was operating a machine and was pulled through the machine.
FY 2010,09/04/10,09/02/10,"J.D. Parker & Sons Co., Inc., New Port Richey, FL  34652",Worker was run over by truck.
FY 2010,09/04/10,09/02/10,"Yecta Inc. dba Morningside Plumbers, Inglewood, CA 90302",Worker suffered fatal injuries (burns) consistent with electrocution while working 35 to 40 feet into a crawl space while attempting to repair water heater.
FY 2010,09/04/10,09/03/10,"Back Nine Club, LLC, Lakeville, MA  02747","Worker was operating a riding lawn mower.  The lawn mower went into a pond, pinning the worker under it."
FY 2010,09/04/10,09/03/10,"Embry Shaw dba 220 Electric Inc., Hammond, LA  70401",Worker was in the process of installing a backup generator and was electrocuted.
FY 2010,09/04/10,09/03/10,"Tridelta Systems, LLC, Graceville, FL  32440",Worker was performing welding repairs on the log selector gate and was crushed by the gate.  The equipment was not properly locked and tagged out for maintenance.
FY 2010,09/11/10,08/27/10,"Gallo's Nursery, Hacienda Heights, CA 91745",Worker received fatal head injuries while loading a tractor on a trailer for hauling.
FY 2010,09/11/10,09/02/10,"Knochel Bros, Inc., Phoenix, AZ 85024",Worker received fatal injuries after being run over by a road grader.
FY 2010,09/11/10,09/03/10,"D & D Westlake, Fresno, CA 93650",Worker had been cleaning out a trench to install sprinkler lines and was later found unresponsive.  Death under investigation.
FY 2010,09/11/10,09/03/10,"MN Power, Duluth, MN 55802",Worker was found unresponsive after taking pictures at a new maintenance building.  Electrical burns found on body during autopsy.  Possible electrocution.
FY 2010,09/11/10,09/04/10,"Everett Acres, Inc., Princeton, FL  33032",Worker's tractor rolled into a canal.
FY 2010,09/11/10,09/06/10,"Neighbor Well Service, Duson, LA  70529","Worker was performing maintenance on a rig.  The rig's floor came down, striking the worker on the head."
FY 2010,09/11/10,09/06/10,"Ringo Drilling 1, L.P. Rig #18, Ozona, TX  76943",Worker was installing a drain pipe to a tank and collapsed.
FY 2010,09/11/10,09/07/10,"Bluebonnet Electric Cooperative, Inc., Luling, TX  78648",Worker was removing a large tree that caused outages.  Worker was in the bucket and made contact with a live line at shoulder or hand.
FY 2010,09/11/10,09/07/10,"Iron Industries, Hanford, CA 93230",Worker received fatal injuries from equipment roll-over while trying to set a beam on top of small building.
FY 2010,09/11/10,09/07/10,"Lauderhill Ten Management Corporation, Inc., Lauderhill, FL 33313","Worker was operating a mower and mowing grass near a canal.  The lawn mower rolled into the canal, worker drowned."
FY 2010,09/11/10,09/07/10,"Lonesome Dove Concrete Pumping, Great Falls, MT  59404",Worker was caught between two trucks and crushed.
FY 2010,09/11/10,09/07/10,"Oakley Missouri, Inc., Hayti, MO  63851",Worker was greasing the bearings on a conveyor and fell 50 feet from a catwalk.
FY 2010,09/11/10,09/07/10,"Unknown Contractor, Risingsun, OH  43467",Worker was pulled into a tree chipper machine.
FY 2010,09/11/10,09/08/10,"New Coat Sealing, LLC., Robinson, IL  62454",Worker was flagging traffic and was struck by a truck.
FY 2010,09/11/10,09/08/10,"Woodwork Manufacturing & Supply, Hutchinson, KS 67501-5373","Worker discovered a fire in a sawdust collection system and attempted to extinguish the fire by opening the dump doors on the bottom of the sawdust collector and a flash fire occurred, enveloping the worker in flames/burning sawdust."
FY 2010,09/11/10,09/09/10,"American Suncraft Indian Heights, Kokomo, IN 46901",Worker was working on a water tower when he fell resulting in fatal injuries.
FY 2010,09/11/10,09/09/10,"Skanska-Koch, Brooklyn, NY  11211",Worker was pinned by aerial lift and beam.
FY 2010,09/11/10,09/09/10,"Westscapes, Inc., Hanford, CA 93230",Worker collapsed after unloading 11-gallon plants and 15-gallon trees from truck.
FY 2010,09/11/10,09/09/10,"Yakama Forest Products, White Swan, WA  98952",Worker was working on a planer and was pinned by the door used to access the cutting heads.
FY 2010,09/11/10,09/10/10,"Ralph Surles Company, Jacksboro, TX  76458","Worker was in the process of assembling a steel double billboard.  One billboard fell onto another, pinning the worker between the signs."
FY 2010,09/11/10,09/11/10,"Gorski Trash Removal, Inc., Penns Park, PA  18943",Worker was performing maintenance on the back of a trash truck.  The support gave way and the tailgate came down on the worker.
FY 2010,09/11/10,09/11/10,"Industrial Piping, LLC, Pryor, OK  74361",Worker was working from an elevated platform and was descending a ladder from the platform.  Worker was found later hanging in his harness.
FY 2010,09/18/10,08/17/10,"Scott Walston Construction, Visalia, CA  93279",Worker suffered fatal head injuries after falling 10 feet from a ladder while climbing to retrieve some material.
FY 2010,09/18/10,08/26/10,"Jack Crump Tree & Moving Service, Pilot Mountain, NC  27041",Worker was electrocuted after making contact with an overhead power line while securing a de-limbed tree from a boom truck basket.
FY 2010,09/18/10,08/30/10,"Swanson Glass Inc., Iowa City, IA  52242","Worker suffered fatal injuries while operating a reciprocating saw on a ladder, losing his balance and falling 24 feet to a concrete slab."
FY 2010,09/18/10,09/08/10,"Seaboard Wellhead Control, Inc., Houston, TX  77047",Worker was struck by a pallet with a load weighing 2000 lbs.
FY 2010,09/18/10,09/11/10,"Johnson Feed, Inc., North Sioux City, SD  57049",Worker was washing trucks from an elevated platform 9 feet high and was found lying at the bottom of the platform.
FY 2010,09/18/10,09/13/10,"Fast Trek Steel Inc., New Haven, CT  06510",Worker was struck by a steel beam that fell from a building to the ground.
FY 2010,09/18/10,09/13/10,"Lowe's Home Improvement, Searcy, AR  72143","Worker climbed a rolling stepladder to retrieve stock from an overhead rack.  He lost his balance and fell, striking his head on a beam and landing on the concrete below."
FY 2010,09/18/10,09/13/10,"Wayne's Tree Removal, Simsbury, CT  06070",Worker was engaged in tree removal activities.  The tree snapped in half at the base; the worker was still attached to the tree as it fell to the driveway.
FY 2010,09/18/10,09/14/10,"Clark's Heavy Equipment & Oil Field Service, Minot, ND 58701",Worker was performing maintenance on skid steer and was later found pinned between the lifting arms and the cab of the skid steer.
FY 2010,09/18/10,09/14/10,"Proscape Holdings, LLC., Plantation, FL  33324",Worker using a riding lawn mower rolled over into a lake and drowned.
FY 2010,09/18/10,09/14/10,"Riley Stripping, Bond & Black Top, Livermore, CA  94550",Worker suffered fatal injuries after being crushed between two farm vehicles.
FY 2010,09/18/10,09/14/10,"Valley Prestress Products Inc., Grand Prairie, TX  77050","Worker was test-starting an engine to put in sidewinder.  The fan blade came off, striking the worker on the chest and head."
FY 2010,09/18/10,09/14/10,"Vulcraft Carrier Corporation, Aberdeen, MD  21005",Worker was struck by two bar joists that fell from a load of steel bar joists on a flatbed truck.
FY 2010,09/18/10,09/15/10,"Hatcher Roofing, New Philadelphia, OH  44663","Worker was tearing off and installing a new roof.  He stepped backward off the roof, falling 12 feet to a concrete patio."
FY 2010,09/18/10,09/15/10,"Honey Fix-It, Media, PA  19063",Worker was painting a fascia board and fell from an extension ladder.
FY 2010,09/18/10,09/15/10,"Park N Fly, Coppell, TX  75019","Worker was servicing a van.  The van rolled off of the ramps, pinning him between the muffler, transmission of the van, and the auto creeper."
FY 2010,09/18/10,09/15/10,"RockTenn, Norcross, GA  30071",Worker was assigned to operate a commercial printer.
FY 2010,09/18/10,09/15/10,"United Parcel Service, Inc., Des Moines, IA  50321",Worker suffered fatal injuries after being struck by a moving semi truck while loading/unloading freight.
FY 2010,09/18/10,09/15/10,"Wright Tree Service, McAlester, OK  72331",Worker was trimming a tree limb 25 feet high. The limb sprung back and struck him on the chest.
FY 2010,09/18/10,09/16/10,"Dallas Metal Works, LLC, Pensacola, FL  32505",Worker was replacing a metal roof and fell through a skylight.
FY 2010,09/18/10,09/16/10,"LeBron's Construction, Springfield, MA  01107-1039",Worker was in the process of reroofing and fell from the second story roof.
FY 2010,09/18/10,09/17/10,"Gavilon Grain LLC, Morral, OH  43337",Worker was working inside a grain silo in removal of the grain by manually moving wood slats covering the discharge auger.  Worker was standing on the grating and was unhooking a sensor cable from the grating.  The grating came loose; the worker fell and was pulled into the operations discharger auger.
FY 2010,09/18/10,09/17/10,"Lindsey Masonary Co., Inc., Overland Park, KS  66062",Worker fell 30 feet after the scaffold collapsed.
FY 2010,09/18/10,09/17/10,"Midwest Fence Corporation, Forest View, IL  60402",Worker was performing repair operations on an impact attenuator and was struck by a truck.
